epoch,step,test_loss,test_mae,test_me,test_medae,test_qlike,test_rmse,test_smape,train_loss,train_mae,train_me,train_medae,train_qlike,train_rmse,train_smape,val_loss,val_mae,val_me,val_medae,val_qlike,val_rmse,val_smape
0,41,,,,,,,,,,,,,,,2.627100706100464,6.383511543273926,261.017822265625,5.309624195098877,2.627100706100464,16.475915908813477,1.0410401821136475
0,41,,,,,,,,6.155126094818115,8.812891006469727,312.0799560546875,5.208751201629639,6.155126094818115,23.22705841064453,1.059952974319458,,,,,,,
1,83,,,,,,,,,,,,,,,2.52657413482666,4.917849063873291,262.15301513671875,3.5223076343536377,2.52657413482666,15.63177490234375,0.8854728937149048
1,83,,,,,,,,2.8090083599090576,7.396884918212891,304.7200622558594,4.045220851898193,2.8090083599090576,22.336620330810547,0.937947154045105,,,,,,,
2,125,,,,,,,,,,,,,,,2.4792468547821045,4.288942337036133,261.453857421875,2.4696269035339355,2.4792468547821045,15.30537223815918,0.7677126526832581
2,125,,,,,,,,2.6497390270233154,6.5265302658081055,287.8226013183594,3.1346561908721924,2.6497390270233154,20.977130889892578,0.8567848205566406,,,,,,,
3,167,,,,,,,,,,,,,,,2.496162176132202,3.7772724628448486,261.643798828125,1.6974594593048096,2.496162176132202,15.180614471435547,0.6407055854797363
3,167,,,,,,,,2.5440430641174316,6.020130157470703,278.8238220214844,2.161619186401367,2.5440430641174316,19.6490421295166,0.7536534667015076,,,,,,,
4,209,,,,,,,,,,,,,,,2.514768123626709,3.931306838989258,260.9665832519531,1.7658541202545166,2.514768123626709,15.265000343322754,0.6457011699676514
4,209,,,,,,,,2.512331008911133,6.0085768699646,282.2015380859375,1.883704423904419,2.512331008911133,19.31708335876465,0.7108603119850159,,,,,,,
5,251,,,,,,,,,,,,,,,2.5392305850982666,3.7405827045440674,261.326416015625,1.5850213766098022,2.5392305850982666,15.18150806427002,0.6101747155189514
5,251,,,,,,,,2.513322353363037,6.077532768249512,262.8152770996094,1.7991892099380493,2.513322353363037,19.06960678100586,0.6906285881996155,,,,,,,
6,293,,,,,,,,,,,,,,,2.5561797618865967,3.7927093505859375,261.133544921875,1.6084438562393188,2.5561797618865967,15.210243225097656,0.6107211112976074
6,293,,,,,,,,2.4986042976379395,6.094025611877441,267.6174011230469,1.8427358865737915,2.4986042976379395,19.256860733032227,0.6910309195518494,,,,,,,
7,335,,,,,,,,,,,,,,,2.57326078414917,3.781184196472168,261.1111755371094,1.6114827394485474,2.57326078414917,15.193486213684082,0.6085927486419678
7,335,,,,,,,,2.4984042644500732,6.071561813354492,262.38409423828125,1.7591266632080078,2.4984042644500732,19.122854232788086,0.6742064356803894,,,,,,,
8,377,,,,,,,,,,,,,,,2.607512950897217,5.099564552307129,260.8456726074219,2.8075640201568604,2.607512950897217,15.921381950378418,0.784260094165802
8,377,,,,,,,,2.4887328147888184,6.020540237426758,270.64404296875,1.7212815284729004,2.4887328147888184,19.313703536987305,0.6615203619003296,,,,,,,
9,419,,,,,,,,,,,,,,,2.6227240562438965,3.631138801574707,261.6177062988281,1.4869632720947266,2.6227240562438965,15.128545761108398,0.581989586353302
9,419,,,,,,,,2.4933602809906006,5.992802619934082,263.2184753417969,1.7789849042892456,2.4933602809906006,19.013999938964844,0.666002094745636,,,,,,,
10,461,,,,,,,,,,,,,,,2.6264357566833496,3.9488184452056885,260.6686706542969,1.7841010093688965,2.6264357566833496,15.241426467895508,0.6340250968933105
10,461,,,,,,,,2.491889238357544,5.991764068603516,273.4472351074219,1.7873530387878418,2.491889238357544,19.267118453979492,0.6660833358764648,,,,,,,
11,503,,,,,,,,,,,,,,,2.65104341506958,3.970493793487549,260.607666015625,1.769040822982788,2.65104341506958,15.266322135925293,0.6301807165145874
11,503,,,,,,,,2.4874560832977295,5.980978012084961,234.80633544921875,1.7846307754516602,2.4874560832977295,18.42583465576172,0.6615434885025024,,,,,,,
12,545,,,,,,,,,,,,,,,2.696410655975342,5.168168067932129,260.4788513183594,2.9087259769439697,2.696410655975342,15.921671867370605,0.7941452860832214
12,545,,,,,,,,2.4803521633148193,5.947426795959473,276.1691589355469,1.7093411684036255,2.4803521633148193,19.22365379333496,0.6492741703987122,,,,,,,
